KEY,en,notes,sp,fr,de,it,pt-br,ja
KEYWORD_KINETICSPPIKES_DESC_STACKLESS,"When this takes damage, emit Sparkles.",,"Al sufrir daño, emite destellos.","Subissant des dégâts, des étincelles sont émises.","Einheit versprüht Funken, wenn sie Schaden erleidet.","Quando subisce danno, emette Scintille.","Ao sofrer dano, emite fagulhas.",ダメージを​受けた​時、​火花を​放つにゃ。[b][/b]
KEYWORD_LEECHES_NAME,Leeches,,Sanguijuelas,Sangsues,Blutegel,Sanguisughe,Sanguessugas,リーチ
KEYWORD_LEECHES_NAME_APPLIER,{applier's} Leeches.,,Son las sanguijuelas de {applier's}.,Sangsues ({applier}).,Blutegel von {applier},Sanguisughe di {applier}.,Sanguessugas de {applier's}.,{applier}の​リーチ
KEYWORD_LEECHES_DESC,Drains {stacks} health at the end of the round.,,Absorbe {stacks} de salud al final de la ronda.,Draine {stacks} PV à la fin de la manche.,Saugt am Ende der Runde {stacks}&nbsp;Gesundheit ab.,Prosciuga {stacks} di salute alla fine del round.,Drena {stacks} de saúde no final da rodada.,ラウンド終了時に{stacks}体力を​吸い​取られるにゃ。[b][/b]
KEYWORD_LEECHES_DESC_APPLIER,Drains {stacks} health at the end of {applier's} turn and gives it to {applier}.,,Absorbe {stacks} de salud al final del turno de {applier's} para dársela a {applier}.,Draine {stacks} PV et les donne à {applier} à la fin de son tour.,Saugt am Ende des Zugs von {applier} {stacks}&nbsp;Gesundheit ab und heilt {applier}.,Prosciuga {stacks} di salute alla fine del turno di {applier} e le fornisce a {applier}.,Drena {stacks} de saúde no final do turno de {applier's} e a concede para {applier}.,{applier}の​ターン終了時に{stacks}体力を​吸い​取られ、{applier}に​与えられるにゃ。[b][/b]
KEYWORD_LEECHES_DESC_STACKLESS,Drains health from the leeched unit at the end of your turn.,,Absorbe salud de la unidad con sanguijuelas al final del turno.,Draine les PV de la victime de cet effet à la fin de votre tour.,Saugt am Ende deines Zuges Gesundheit von der betroffenen Einheit ab.,Prosciuga la salute dell'unità affetta alla fine del tuo turno.,Drena saúde da unidade com sanguessuga no final do seu turno.,ターン終了時に​リーチされた​ユニットから​体力を​吸い​取るにゃ。[b][/b]
KEYWORD_LIFESTEAL_NAME,Lifesteal,,Robavida,Vol de vie,Leben stehlen,Rubavita,Roubo de Vida,ライフスティール
KEYWORD_LIFESTEAL_DESC,The next {stacks} basic attacks you do heal you for the amount of health damage they inflict.,,Los siguientes {stacks} ataques básicos curan a esta unidad según la cantidad de daño de salud que inflija.,Vos {stacks} prochaines attaques de base vous soignent d'un montant de PV égal aux dégâts qu'elles infligent.,Deine nächsten {stacks}&nbsp;Grundangriffe heilen dich in Höhe des verursachten Schadens.,I successivi {stacks} attacchi base che esegui ti curano per la quantità di danno alla salute che infliggono.,Seus próximos {stacks} ataques básicos curam você de forma equivalente ao dano à saúde causado.,次の{stacks}回の​通常攻撃で​与えた​体力ダメージ分回復するにゃ。[b][/b]
KEYWORD_LIFESTEAL_DESC_STACKLESS,Your next basic attack heals you for the amount of health damage it inflicts.,,El siguiente ataque básico cura a esta unidad según la cantidad de daño de salud que inflija.,Votre prochaine attaque de base vous soigne d'un montant de PV égal aux dégâts qu'elle inflige.,Dein nächster Grundangriff heilt dich in Höhe des verursachten Schadens.,Il tuo prossimo attacco base ti cura per la quantità di danno alla salute che infligge.,Seu próximo ataque básico cura você de forma equivalente ao dano à saúde causado.,次の​通常攻撃で​与えた​体力ダメージ分回復するにゃ。[b][/b]
KEYWORD_LIFESTEAL2_DESC,Heals you equal to the amount of health damage dealt.,,La unidad se cura según la cantidad de daño de salud que inflija.,Vous soigne d'un montant de PV égal aux dégâts infligés.,Heilt dich in Höhe des verursachten Schadens.,Ti cura in modo pari alla quantità di danno alla salute inflitto.,Cura você de forma equivalente ao dano à saúde causado.,与えた​体力ダメージ分回復するにゃ。[b][/b]
KEYWORD_LCKUP_NAME,Luck Up,,Suerte aumentada,Chance (+),Glück hoch,Fortuna +,Sorte Aumentada,運上昇
KEYWORD_LCKUP_DESC,Luck increased by {stacks}.Luck affects base crit chance and all randomness.,,La suerte aumenta en {stacks}.La suerte afecta a la probabilidad de crítico base y a todo lo que depende del azar.,Chance +{stacks}.La chance affecte les chances de coup critique de base ainsi que toute forme d'aléatoire.,Glück um {stacks} erhöht.Glück wirkt sich auf die kritische Trefferchance und alle zufälligen Ereignisse aus.,La fortuna aumenta di {stacks}.La fortuna influenza la probabilità di colpo critico base e di tutte le casualità.,A sorte é aumentada em {stacks}.A sorte afeta a chance de crítico base e tudo que é aleatório.,運が{stacks}上昇にゃ。​運は​基本クリティカル率と​全ての​ラン​ダム性に​影響するにゃ。[b][/b]
KEYWORD_LCKDOWN_NAME,Luck Down,,Suerte reducida,Chance (-),Glück runter,Fortuna -,Sorte Diminuída,運低下
KEYWORD_LCKDOWN_DESC,Luck decreased by {absstacks}.Luck affects base crit chance and all randomness.,,La suerte se reduce en {absstacks}.La suerte afecta a la probabilidad de crítico base y a todo lo que depende del azar.,Chance -{absstacks}.La chance affecte les chances de coup critique de base ainsi que toute forme d'aléatoire.,Glück um {absstacks} verringert.Glück wirkt sich auf die kritische Trefferchance und alle zufälligen Ereignisse aus.,La fortuna diminuisce di {stacks}.La fortuna influenza la probabilità di colpo critico base e di tutte le casualità.,A sorte é diminuída em {absstacks}.A sorte afeta a chance de crítico base e tudo que é aleatório.,運が{absstacks}低下にゃ。​運は​基本クリティカル率と​全ての​ラン​ダム性に​影響するにゃ。[b][/b]
KEYWORD_MADNESS_NAME,Madness,,Locura,Folie,Wahnsinn,Follia,Insanidade,狂気
KEYWORD_MADNESS_DESC,Thinks everything is an enemy. Uncontrollable.,,Piensa que todos son enemigos. Incontrolable.,Tout lui semble être un ennemi. Incontrôlable.,Hält alles für einen Gegner. Unkontrollierbar.,Pensa che ogni cosa sia un nemico. Incontrollabile.,Pensa que tudo é um inimigo. Incontrolável.,全てを​敵だと​思ってるにゃ。​制御不能にゃ。[b][/b]
KEYWORD_MAGICWEAKNESS_NAME,Magic Weakness,,Debilidad mágica,Vulnérabilité magique,Magieschwäche,Debolezza Magica,Fraqueza Contra Magia,魔法弱点
KEYWORD_MAGICWEAKNESS_DESC,Incoming magic damage has 100% Crit Chance and can't miss.,,El daño mágico sufrido tiene un 100 % de probabilidad de crítico y no puede fallar.,Les dégâts que vous subissez ont 100&nbsp;% de chances de coup critique et touchent à coup sûr.,Erlittener magischer Schaden hat 100&nbsp;% kritische Trefferchance und kann nicht verfehlen.,Il danno magico in arrivo ha una probabilità di colpo critico del 100% e non può mancare il bersaglio.,O dano mágico sofrido possui 100% de chance de crítico e não pode errar.,受ける​魔法ダメージが​100%クリティカルに​なり、​ミスしないにゃ。[b][/b]
KEYWORD_MANALEECHES_NAME,Mana Leeches,,Sanguijuelas de maná,Sangsue de mana,Manablutegel,Assorbi-Mana,Sanguessugas de Mana,マナリーチ
KEYWORD_MANALEECHES_NAME_APPLIER,{applier's} Mana Leeches,,Son las sanguijuelas de maná de {applier's}.,Sangsues de mana ({applier}).,Manablutegel von {applier},Assorbi-Mana di {applier},Sanguessugas de mana de {applier's},{applier}の​マナリーチ[b][/b]
KEYWORD_MANALEECHES_DESC,Drains {stacks} mana at the end of the round.,,Absorbe {stacks} de maná al final de la ronda.,Draine {stacks} mana à la fin de la manche.,Saugen am Ende der Runde {stacks}&nbsp;Mana ab.,Prosciuga {stacks} di mana alla fine del round.,Drena {stacks} de mana no final da rodada.,ラウンド終了時に{stacks}マナを​吸い​取られるにゃ。[b][/b]
KEYWORD_MANALEECHES_DESC_APPLIER,Drains {stacks} mana at the end of {applier's} turn and gives it to {applier}.,,Absorbe {stacks} de maná al final del turno de {applier's} para dárselo a {applier}.,Draine {stacks} mana et les donne à {applier} à la fin de son tour.,Saugen am Ende vom Zug von {applier} {stacks}&nbsp;Mana ab und schreiben sie {applier} gut.,Prosciuga {stacks} di mana alla fine del turno di {applier} e lo fornisce a {applier}.,Drena {stacks} de mana no final do turno de {applier's} e a concede para {applier}.,{applier}の​ターン終了時に{stacks}マナを​吸い​取られ、{applier}に​与えられるにゃ。[b][/b]
KEYWORD_MANALEECHES_DESC_STACKLESS,Drains mana from the leeched unit at the end of your turn.,,Absorbe maná de la unidad con sanguijuelas al final del turno.,Draine le mana de la victime de cet effet à la fin de votre tour.,Saugen am Ende deines Zuges Mana von der betroffenen Einheit ab.,Prosciuga mana dall'unità che subisce l'assorbimento alla fine del tuo turno.,Drena mana da unidade com sanguessuga de mana no final do seu turno.,ターン終了時に​リーチされた​ユニットから​マナを​吸い​取るにゃ。[b][/b]
KEYWORD_MARKED_NAME,Marked,,Punto de mira,Marquage,Markiert,Marchio,Marcação,マーク
KEYWORD_MARKED_DESC,"Incoming physical damage has 100% Crit Chance, ignores shield, and can't miss.",,"El daño físico sufrido tiene un 100 % de probabilidad de crítico, ignora el escudo y no puede fallar.","Les dégâts physiques que vous subissez ont 100&nbsp;% de chances de coup critique, ignorent la défense et touchent à coup sûr.","Erlittener physischer Schaden hat 100&nbsp;% kritische Trefferchance, ignoriert Schilde und kann nicht verfehlen.","Il danno fisico in arrivo ha una probabilità di critico del 100%, ignora lo scudo e non può mancare il bersaglio.","O dano físico sofrido possui 100% de chance de crítico, ignora escudos e não pode errar.",受ける​物理ダメージが​100%クリティカルに​なり、​シールドを​無視し、​ミスしないにゃ。[b][/b]
KEYWORD_MEATY_NAME,Meaty,,Carne jugosa,Bout de viande,Fleischig,Carnoso,Carnudo,肉付き
KEYWORD_MEATY_DESC,Turns into meat when it dies.,,Se transforma en carne al morir.,Se change en viande à sa mort.,"Einheit verwandelt sich in Fleisch, wenn sie stirbt.",Si trasforma in carne quando muore.,Transforma-se em carne ao morrer.,死亡時に​肉に​なるにゃ。
KEYWORD_MISSCHANCE_NAME,Miss Chance,,Probabilidad de fallo,Risques d'échec,Wahrscheinlichkeit zu verfehlen,Probabilità di mancare,Chance de Erro,ミス率
KEYWORD_MISSCHANCE_DESC,Miss chance increased by {stacks}%.,,La probabilidad de fallo aumenta en un {stacks} %.,Risques d'échec +{stacks}&nbsp;%.,"Wahrscheinlichkeit, dass Angriffe verfehlen, ist um {stacks}&nbsp;% erhöht.",La probabilità di mancare aumenta del {stacks}%.,A chance de erro é aumentada em {stacks}%.,ミス率が{stacks}%上昇にゃ。
KEYWORD_MOVEMENTUP_NAME,Movement Up,,Movimiento aumentado,Déplacements (+),Bewegung hoch,Movimento +,Movimento Aumentado,移動力上昇
KEYWORD_MOVEMENTUP_DESC,Basic movement range increased by {stacks}.,,El alcance del movimiento básico aumenta en {stacks}.,Portée de déplacement de base +{stacks}.,Bewegungsreichweite ist um {stacks} erhöht.,Il raggio di movimento base aumenta di {stacks}.,O alcance de movimento básico é aumentado em {stacks}.,基本移動範囲が{stacks}上昇にゃ。
KEYWORD_MOVEMENTUP_DESC_STACKLESS,Increases your basic movement's range.,,Aumenta el alcance del movimiento básico.,Augmente votre portée de déplacement de base.,Erhöht deine Bewegungsreichweite.,Aumenta il raggio del tuo movimento base.,Aumenta seu alcance de movimento básico.,基本移動範囲が​上昇するにゃ。
KEYWORD_MOVEMENTDOWN_NAME,Movement Down,,Movimiento reducido,Déplacements (-),Bewegung runter,Movimento -,Movimento Diminuído,移動力低下
KEYWORD_MOVEMENTDOWN_DESC,Basic movement range decreased by {stacks}.,,El alcance del movimiento básico se reduce en {stacks}.,Portée de déplacement de base -{stacks}.,Bewegungsreichweite ist um {stacks} verringert.,Il raggio di movimento base diminuisce di {stacks}.,O alcance de movimento básico é diminuído em {stacks}.,基本移動範囲が{stacks}低下にゃ。
KEYWORD_MOVEMENTDOWN_DESC_STACKLESS,Decreases your basic movement's range.,,Reduce el alcance del movimiento básico.,Diminue votre portée de déplacement de base.,Verringert deine Bewegungsreichweite.,Diminuisce il raggio del tuo movimento base.,Diminui seu alcance de movimento básico.,基本移動範囲が​低下するにゃ。
KEYWORD_BONUSMOVE_NAME,Bonus Move,,Bonificación de movimiento,Déplacement bonus,Bonusbewegung,Movimento Bonus,Movimento Bônus,ボーナス移動
KEYWORD_BONUSMOVE_DESC,An extra basic move that is saved across turns if unused.,,"Hay un movimiento básico extra que, de no usarse, se guarda para otro turno.","Un déplacement de base bonus, conservé d'un tour à l'autre s'il n'est pas utilisé.","Eine zusätzliche Bewegung, die über Züge hinweg erhalten bleibt, wenn sie nicht genutzt wird.",Un movimento base aggiuntivo che si conserva tra i turni se non viene utilizzato.,Um movimento básico adicional que persiste entre turnos se não for utilizado.,未使用時に​ターンを​またいで​保存される​追加の​基本移動にゃ。[b][/b]
KEYWORD_BONUSMOVE_DESC_STACKS,{stacks} extra basic moves that are saved across turns if unused.,,"Hay {stacks} movimientos básicos extras que, de no usarse, se guardan para otro turno.","{stacks} déplacements de base bonus, conservés d'un tour à l'autre s'ils ne sont pas utilisés.","{stacks} zusätzliche Bewegungen, die über Züge hinweg erhalten bleiben, wenn sie nicht genutzt werden.",{stacks} movimenti base aggiuntivi che si conservano tra i turni se non vengono utilizzati.,{stacks} movimentos básicos adicionais que persistem entre turnos se não forem utilizados.,未使用時に​ターンを​またいで​保存される{stacks}回の​追加基本移動にゃ。[b][/b]
KEYWORD_MUTED_NAME,Muted,,Silencio,Entrave magique,Stumm,Mutismo,Silêncio,沈黙
KEYWORD_MUTED_DESC,{stacks} of your spells are disabled until {applier} dies.,,Se deshabilitan {stacks} hechizos de esta unidad hasta que {applier} muere.,{stacks} de vos sorts sont désactivés jusqu'à ce que {applier} meure.,"{stacks} deiner Zauber sind deaktiviert, bis {applier} stirbt.",{stacks} dei tuoi incantesimi sono disabilitati finché {applier} non muore.,{stacks} de seus encantamentos são desabilitados até que {applier} morra.,{applier}が​死ぬまで{stacks}個の​スペルが​無効化されるにゃ。[b][/b]
KEYWORD_MUTED_DESC_SINGULAR,One of your spells is disabled until {applier} dies.,,Se deshabilita un hechizo de esta unidad hasta que {applier} muere.,Un de vos sorts est désactivé jusqu'à ce que {applier} meure.,"Einer deiner Zauber ist deaktiviert, bis {applier} stirbt.",Uno dei tuoi incantesimi è disabilitato finché {applier} non muore.,Um de seus encantamentos é desabilitado até que {applier} morra.,{applier}が​死ぬまで​1個の​スペルが​無効化されるにゃ。[b][/b]
KEYWORD_MUTED_DESC_STACKLESS,Disables a random spell until the applier is killed.,,Deshabilita un hechizo al azar hasta que quien lo aplica muere.,Rend un de vos sorts inutilisable jusqu'à ce que l'applicateur de l'effet ne meure.,"Deaktiviert einen zufälligen Zauber, bis der Wirker stirbt.",Disabilita un incantesimo casuale finché chi l'ha lanciato non muore.,Desabilita um encantamento aleatório até quem o lançar morrer.,付与者が​倒されるまで​ランダムな​スペルが​無効化されるにゃ。[b][/b]
KEYWORD_BONUSRANGE_NAME,Bonus Range,,Bonificación de alcance,Portée bonus,Bonusreichweite,Raggio d'Azione Bonus,Alcance Bônus,ボーナス射程
KEYWORD_BONUSRANGE_DESC,Your next basic attack has +{stacks} range.,,El siguiente ataque básico tiene +{stacks} de alcance.,Portée de votre prochaine attaque de base +{stacks}.,Dein nächster Grundangriff hat +{stacks}&nbsp;Reichweite.,Il tuo prossimo attacco base ha +{stacks} al raggio d'azione.,Seu próximo ataque básico possui +{stacks} de alcance.,次の​通常攻撃の​射程が​+{stacks}されるにゃ。[b][/b]
KEYWORD_BONUSRANGE_DESC_STACKLESS,Increases the range of your next basic attack.,,Aumenta el alcance del siguiente ataque básico.,Augmente la portée de votre prochaine attaque de base.,Erhöht die Reichweite deines nächsten Grundangriffs.,Aumenta il raggio d'azione del tuo prossimo attacco base.,Aumenta o alcance do seu próximo ataque básico.,次の​通常攻撃の​射程が​上昇するにゃ。[b][/b]
KEYWORD_DOUBLERANGEDDMG_NAME,Double Ranged Damage,,Daño a distancia duplicado,Dégâts à distance doublés,Doppelter Fernkampfschaden,Danno a Distanza Doppio,Dano à Distância Dobrado,遠距離ダメージ倍化
KEYWORD_DOUBLERANGEDDMG_DESC,All ranged physical attacks and abilities deal double damage.,,Todas las habilidades y los ataques físicos a distancia infligen el doble de daño.,Les attaques physiques à distance et compétences infligent des dégâts doublés.,Alle physischen Fernkampfangriffe und -fähigkeiten verursachen doppelten Schaden.,Tutti gli attacchi fisici a distanza e le abilità a distanza infliggono il doppio del danno.,Todos os ataques e habilidades físicos à distância possuem dano dobrado.,全ての​遠距離物理攻撃と​アビリティの​ダメージが​2倍に​なるにゃ。[b][/b]
KEYWORD_NOHEALTHREGEN_NAME,No Health Regen,,Sin regeneración de salud,PV statiques,Keine Lebensregeneration,Nessuna Rigenerazione Salute,Sem Regeneração de Saúde,HP再生なし
KEYWORD_NOHEALTHREGEN_DESC,Health won't regen automatically and does not regen at the end of battle.,,La salud no se regenera automáticamente ni se recupera al final del combate.,Les PV ne se régénèrent pas automatiquement ni en fin de combat.,"Leben regeneriert sich weder automatisch, noch am Kampfende.",La salute non si rigenera automaticamente e non si rigenera alla fine della battaglia.,A saúde não é regenerada automaticamente ou no final da batalha.,HPが​自動再生せず、​バトル終了時にも​回復しないにゃ。[b][/b]
KEYWORD_NOMANAREGEN_NAME,No Mana Regen,,Sin regeneración de maná,Mana statique,Keine Manaregeneration,Nessuna Rigenerazione Mana,Sem Regeneração de Mana,マナ再生なし
KEYWORD_NOMANAREGEN_DESC,Mana won't regen automatically.,,El maná no se regenera automáticamente.,Le mana ne se régénère pas automatiquement.,Mana regeneriert sich nicht automatisch.,Il mana non si rigenera automaticamente.,A mana não é regenerada automaticamente.,マナが​自動再生しないにゃ。
KEYWORD_OSTRACIZED_NAME,Ostracized,,Ostracismo,Paria,Geächtet,Ostracizzazione,Ostracismo,排斥
KEYWORD_OSTRACIZED_DESC,Every unit sees this as an enemy and will attack it with priority.,,Todas las demás unidades la consideran un enemigo y tienen la prioridad de atacarla.,Considéré par chaque unité comme un ennemi à attaquer en priorité.,Jede Einheit betrachtet diese Einheit als Gegner und greift sie mit Priorität an.,Chiunque considera questa unità come nemica e l'attaccherà prima delle altre.,Todas as unidades vêem isto como um inimigo e atacam sempre que possível.,全ての​ユニットが​これを​敵と​見なし、​優先的に​攻撃するにゃ。[b][/b]
KEYWORD_CAPTUREDFAMILIAR_NAME,Captured Familiar,,Familiar capturado,Familier capturé,Gefangener Begleiter,Famiglio Catturato,Familiar Capturado,捕獲した​使い魔
KEYWORD_CAPTUREDFAMILIAR_DESC,"Was once an enemy, is now on your team. Will follow you to future battles if it doesn't die.",,"Era enemigo, pero se pasa a tu grupo. Si no muere, lucha contigo en futuros combates.","Autrefois un ennemi, il fait maintenant partie de votre équipe. Il vous suivra dans vos combats tant qu'il ne meurt pas.","War einst ein Gegner, kämpft jetzt aber für dein Team. Folgt dir in zukünftige Kämpfe, wenn er nicht stirbt.","Una volta era un nemico, ora è nella tua squadra. Ti seguirà nelle battaglie future se non muore.","Já foi um inimigo, agora está na sua equipe. Segue você em batalhas futuras se não morrer.",かつては​敵だったが、​今は​仲間にゃ。​死ななければ​次の​バトルに​も​ついてくるにゃ。[b][/b]
KEYWORD_PETRIFY_NAME,Petrify,,Petrificación,Pétrification,Versteinern,Pietrificazione,Petrificação,石化
KEYWORD_PETRIFY_DESC,It's a rock for {stacks} turns.,,Se transforma en roca durante {stacks} turnos.,Se change en pierre pendant {stacks} tours.,Ist {stacks}&nbsp;Züge versteinert.,È una roccia per {stacks} turni.,Torna-se uma pedra por {stacks} turnos.,{stacks}ターン石に​なるにゃ。[b][/b]
KEYWORD_PETRIFY_DESC_SINGULAR,It's a rock for 1 turn.,,Se transforma en roca durante 1 turno.,Se change en pierre pendant 1&nbsp;tour.,Ist noch 1&nbsp;Zug versteinert.,È una roccia per 1 turno.,Torna-se uma pedra por 1 turno.,1ターン石に​なるにゃ。
KEYWORD_PETRIFY_DESC_STACKLESS,Becomes a rock temporarily.,,Se transforma en roca temporalmente.,Se change en pierre temporairement.,Wird zeitweise zum Stein.,Diventa temporaneamente una roccia.,Torna-se uma pedra temporariamente.,一時的に​石に​なるにゃ。
KEYWORD_POISON_NAME,Poison,,Veneno,Poison,Gift,Veleno,Veneno,毒
KEYWORD_POISON_DESC,Takes {stacks} damage at the start of each of its turns. Incoming healing is less effective but cures 1 Poison.,,"Sufre {stacks} de daño al inicio de cada turno. La curación resulta menos efectiva, pero cura 1 de veneno.","Subit {stacks} dégâts au début de chacun de ses tours. Les soins reçus sont moins efficaces, mais soignent 1&nbsp;Poison.","Erleidet am Anfang seiner Züge {stacks}&nbsp;Schaden. Eingehende Heilung ist weniger effektiv, heilt aber 1&nbsp;Gift.",Subisce {stacks} danno all'inizio di ognuno dei suoi turni. Le cure in arrivo sono meno efficaci ma curano 1 Veleno.,"Sofre {stacks} de dano no início de cada um de seus turnos. Qualquer cura recebida é menos efetiva, porém cura 1 de veneno.",各ターン開始時に{stacks}ダメージを​受けるにゃ。​回復の​効果が​低下するが、​毒を​1除去するにゃ。[b][/b]
KEYWORD_POISON_DESC_STACKLESS,Takes damage at the start of every turn. Incoming healing is less effective but cures 1 Poison.,,"Sufre daño al inicio de cada turno. La curación resulta menos efectiva, pero cura 1 de veneno.","Subit des dégâts au début de chacun de ses tours. Les soins reçus sont moins efficaces, mais soignent 1&nbsp;Poison.","Erleidet am Anfang seiner Züge Schaden. Eingehende Heilung ist weniger effektiv, heilt aber 1&nbsp;Gift.",Subisce danno all'inizio di ognuno dei suoi turni. Le cure in arrivo sono meno efficaci ma curano 1 Veleno.,"Sofre dano no início de cada turno. Qualquer cura recebida é menos efetiva, porém cura 1 de veneno.",各ターン開始時に​ダメージを​受けるにゃ。​回復の​効果が​低下するが、​毒を​1除去するにゃ。[b][/b]
KEYWORD_POISONLACE_NAME,Poison Lace,,Dosis de veneno,Attaque empoisonnée,Giftversetzt,Laccio Velenoso,Ataque Envenenado,毒塗り
KEYWORD_POISONLACE_DESC,Basic attack inflicts +{stacks} Poison.,,El ataque básico inflige +{stacks} de veneno.,Votre attaque de base inflige Poison +{stacks}.,Grundangriff verursacht +{stacks}&nbsp;Gift.,L'attacco base infligge +{stacks} Veleno.,O ataque básico aplica +{stacks} de veneno.,通常攻撃が​+{stacks}毒を​付与するにゃ。[b][/b]
KEYWORD_POISONLACE_DESC_STACKLESS,Basic attack inflicts Poison.,,El ataque básico inflige veneno.,Votre attaque de base inflige Poison.,Grundangriff verursacht Gift.,L'attacco base infligge Veleno.,O ataque básico aplica veneno.,通常攻撃が​毒を​付与するにゃ。[b][/b]
KEYWORD_WPOISONLACE_NAME,Poison Lace (Weapon),,Dosis de veneno (arma),Attaque empoisonnée (arme),Giftversetzt (Waffe),Laccio Velenoso (Arma),Ataque Envenenado (Arma),毒塗り(武器)
KEYWORD_WPOISONLACE_DESC,Your weapon inflicts +{stacks} Poison.,,El arma inflige +{stacks} de veneno.,Votre arme inflige Poison +{stacks}.,Deine Waffe verursacht +{stacks}&nbsp;Gift.,La tua arma infligge +{stacks} Veleno.,Sua arma aplica +{stacks} de veneno.,武器が​+{stacks}毒を​付与するにゃ。[b][/b]
KEYWORD_WPOISONLACE_DESC_STACKLESS,Your weapon inflicts Poison.,,El arma inflige veneno.,Votre arme inflige Poison.,Deine Waffe verursacht Gift.,La tua arma infligge Veleno.,Sua arma aplica veneno.,武器が​毒を​付与するにゃ。
KEYWORD_POISONOUS_NAME,Poisonous,,Envenenamiento,Toxique,Giftig,Avvelenamento,Venenoso,有毒
KEYWORD_POISONOUS_DESC,Inflicts Poison {stacks} to units that contact you.,,Inflige {stacks} de veneno a las unidades que entran en contacto con esta.,Inflige Poison {stacks} aux unités qui vous touchent.,"Verursacht Gift&nbsp;{stacks} bei Einheiten, die dich berühren.",Infligge Veleno {stacks} alle unità che ti toccano.,Aplica veneno {stacks} em unidades que entrarem em contato com você.,接触した​ユニットに​毒{stacks}を​付与するにゃ。[b][/b]
KEYWORD_POISONOUS_DESC_STACKLESS,Inflicts Poison to units that contact you.,,Inflige veneno a las unidades que entran en contacto con esta.,Inflige Poison aux unités qui vous touchent.,"Verursacht Gift bei Einheiten, die dich berühren.",Infligge Veleno alle unità che ti toccano.,Aplica veneno em unidades que entrarem em contato com você.,接触した​ユニットに​毒を​付与するにゃ。[b][/b]
KEYWORD_POSSESED_NAME,Possessed,,Posesión,Possession,Besessen,Possessione,Possessão,憑依
KEYWORD_POSSESSED_DESC,Takes {stacks} extra turns and is uncontrollable and charmed on those turns.,,"Esta unidad juega {stacks} turnos extras, durante los cuales se muestra incontrolable y embrujada.",Joue {stacks} tours bonus durant lesquels il est incontrôlable et envoûté.,Erhält {stacks}&nbsp;zusätzliche Züge. Einheit ist während dieser Züge unkontrollierbar und erleidet Charme.,L'unità effettua {stacks} turni aggiuntivi ed è incontrollabile e ammaliata in quei turni.,Obtém {stacks} turnos adicionais e não pode ser controlado ou enfeitiçado nesses turnos.,{stacks}回の​追加ターンを​得て、​その​ターンは​制御不能で​魅了状態に​なるにゃ。[b][/b]
KEYWORD_POSSESSED_DESC_SIGNULAR,Takes an extra turn and is uncontrollable and charmed on that turn.,,"Esta unidad juega un turno extra, durante el cual se muestra incontrolable y embrujada.",Joue 1&nbsp;tour bonus durant lequel il est incontrôlable et envoûté.,Erhält einen zusätzlichen Zug. Einheit ist während dieses Zuges unkontrollierbar und erleidet Charme.,L'unità effettua un turno aggiuntivo ed è incontrollabile e ammaliata in quel turno.,Obtém um turno adicional e não pode ser controlado ou enfeitiçado nesses turnos.,追加ターンを​1回得て、​その​ターンは​制御不能で​魅了状態に​なるにゃ。[b][/b]
KEYWORD_POSSESSED_DESC_STACKLESS,Takes an extra Charmed turn.,,"Esta unidad juega un turno extra, durante el cual está embrujada.",Joue 1&nbsp;tour bonus durant lequel il subit Envoûtement.,"Erhält einen zusätzlichen Zug, bei dem die Einheit unter Charme leidet.",L'unità effettua un turno aggiuntivo con Ammaliamento.,Obtém um turno adicional de feitiço.,魅了状態の​追加ターンを​得るにゃ。[b][/b]
KEYWORD_PREEMTIVECOUNTER_NAME,Preemptive Counter,,Contrataque preventivo,Riposte préventive,Präventiver Konter,Contrattacco Preventivo,Contra-Ataque Preventivo,先制反撃
KEYWORD_PREEMTIVECOUNTER_DESC,"Attack the next {stacks} things that target you before they attack you, automatically.",,Esta unidad ataca automáticamente a los siguientes {stacks} entes que la apunten antes de que la ataquen.,Attaque automatiquement les {stacks} prochaines choses qui vous ciblent avant qu'elles ne vous attaquent.,"Greife automatisch die nächsten {stacks}&nbsp;Einheiten an, die dich anvisieren, bevor sie dich angreifen.",Attacchi automaticamente le successive {stacks} cose che ti prendono di mira prima che loro attacchino te.,Ataque automaticamente as próximas {stacks} coisas que pretenderem atacar você antes que esses ataques sejam realizados.,次に​狙ってくる{stacks}体を​相手の​攻撃前に​自動で​攻撃するにゃ。[b][/b]
KEYWORD_PREEMTIVECOUNTER_DESC_STACKLESS,"Attack the next thing that targets you before it attacks you, automatically.",,Esta unidad ataca automáticamente al siguiente ente que la apunte antes de que la ataque.,Attaque automatiquement la prochaine chose qui vous cible avant qu'elle ne vous attaque.,"Greife automatisch die nächste Einheit an, die dich anvisiert, bevor sie dich angreift.",Attacchi automaticamente la successiva cosa che ti prende di mira prima che attacchi te.,Ataque automaticamente a próxima coisa que pretender atacar você antes que esse ataque seja realizado.,次に​狙ってくる​対象を​相手の​攻撃前に​自動で​攻撃するにゃ。[b][/b]
KEYWORD_QUIVERED_NAME,Bonus Attack,,Bonificación de ataque,Attaque bonus,Bonusangriff,Attacco Bonus,Ataque Bônus,ボーナス攻撃
